Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Pedro Sánchez,name,2025,https://www.ine.es/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,PSOE,party,2025,https://www.ine.es/ / government statistics,true,
Government,Overview,head of government political ideology,,,centre-left,ideology,2025,https://www.ine.es/ / government statistics,true,
Government,Overview,governing coalition,,,PSOE–Sumar minority coalition,coalition,2025,https://www.ine.es/ / government statistics,true,
Government,Overview,number of coalition parties,,,2,parties,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,total seats,,,350,seats,2025,https://www.ine.es/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,PP,137,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,seats by party,,PSOE,121,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,seats by party,,Vox,33,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,seats by party,,Sumar,31,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,seats by party,,ERC,7,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,seats by party,,Junts,7,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,seats by party,,Others,14,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,majority threshold,,,176,seats,2025,https://www.ine.es/ / government statistics,true,
Government,Parliament,coalition seat total,,,189,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,161,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://www.ine.es/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,41,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,39,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,27,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,55,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,65,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,48,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,44,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (56).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
